Name	Cylinders	Displacement	Horsepower	Weight	ModelYear	Origin
datsun 1200	4	72.0	69.0	1600	71	japan
toyota corona	4	76.0	52.0	1649	74	japan
toyota starlet	4	79.0	58.0	1755	81	japan
honda civic 1300	4	81.0	60.0	1760	81	japan
toyota corolla 1200	4	71.0	65.0	1773	71	japan
honda civic cvcc	4	91.0	53.0	1795	75	japan
honda civic	4	91.0	53.0	1795	76	japan
ford fiesta	4	98.0	66.0	1800	78	usa
honda civic cvcc	4	91.0	60.0	1800	78	japan
volkswagen rabbit	4	97.0	71.0	1825	76	europe
renault 5 gtl	4	79.0	58.0	1825	77	europe
volkswagen model 111	4	97.0	60.0	1835	71	europe
volkswagen 1131 deluxe sedan	4	97.0	46.0	1835	70	europe
renault lecar deluxe	4	85.0		1835	80	europe
toyota corolla 1200	4	71.0	65.0	1835	74	japan
vokswagen rabbit	4	89.0	62.0	1845	80	europe
honda civic 1500 gl	4	91.0	67.0	1850	80	japan
fiat 128	4	68.0	49.0	1867	73	europe
plymouth champ	4	86.0	64.0	1875	81	usa
dodge colt hatchback custom	4	98.0	80.0	1915	79	usa
vw rabbit custom	4	89.0	71.0	1925	79	europe
volkswagen rabbit	4	90.0	70.0	1937	75	europe
vw rabbit	4	90.0	70.0	1937	76	europe
volkswagen rabbit custom	4	97.0	78.0	1940	77	europe
datsun f-10 hatchback	4	85.0	70.0	1945	77	japan
volkswagen super beetle	4	97.0	46.0	1950	73	europe
datsun b210	4	79.0	67.0	1950	74	japan
plymouth cricket	4	91.0	70.0	1955	71	usa
volkswagen dasher	4	79.0	67.0	1963	74	europe
honda civic	4	91.0	67.0	1965	82	japan
honda civic (auto)	4	91.0	67.0	1965	82	japan
toyota corolla tercel	4	89.0	60.0	1968	80	japan
mazda glc custom	4	91.0	68.0	1970	82	japan
maxda glc deluxe	4	86.0	65.0	1975	79	japan
datsun 210 mpg	4	85.0	65.0	1975	81	japan
volkswagen rabbit l	4	105.0	74.0	1980	82	europe
subaru dl	4	97.0	67.0	1985	77	japan
volkswagen rabbit custom diesel	4	90.0	48.0	1985	78	europe
mazda glc deluxe	4	78.0	52.0	1985	78	japan
mazda glc 4	4	91.0	68.0	1985	81	japan
datsun b-210	4	85.0	70.0	1990	76	japan
volkswagen scirocco	4	89.0	71.0	1990	78	europe
datsun 310 gx	4	91.0	67.0	1995	82	japan
fiat x1.9	4	79.0	67.0	2000	74	europe
datsun 710	4	83.0	61.0	2003	74	japan
datsun 310	4	86.0	65.0	2019	80	japan
datsun 210	4	85.0	65.0	2020	79	japan
mazda glc custom l	4	91.0	68.0	2025	82	japan
chevrolet chevette	4	85.0	52.0	2035	76	usa
honda accord cvcc	4	98.0	68.0	2045	77	japan
ford escort 4w	4	98.0	65.0	2045	81	usa
ford pinto	4	98.0		2046	71	usa
toyota tercel	4	89.0	62.0	2050	81	japan
chevrolet chevette	4	98.0	63.0	2051	77	usa
fiat 124b	4	88.0	76.0	2065	71	europe
subaru	4	97.0	67.0	2065	81	japan
datsun b210 gx	4	85.0	70.0	2070	78	japan
peugeot 304	4	79.0	70.0	2074	71	europe
dodge colt m/m	4	98.0	83.0	2075	77	usa
vw rabbit c (diesel)	4	90.0	48.0	2085	80	europe
toyota corolla 1600 (sw)	4	97.0	88.0	2100	72	japan
fiat 128	4	90.0	75.0	2108	74	europe
mazda glc	4	86.0	65.0	2110	80	japan
datsun 210	4	85.0	65.0	2110	80	japan
chevrolet chevette	4	98.0	70.0	2120	80	usa
opel 1900	4	116.0	90.0	2123	71	europe
maxda rx3	3	70.0	90.0	2125	73	japan
dodge colt	4	90.0	75.0	2125	74	usa
plymouth horizon miser	4	105.0	63.0	2125	82	usa
mercury lynx l	4	98.0	70.0	2125	82	usa
dodge colt hardtop	4	97.5	80.0	2126	72	usa
datsun pl510	4	97.0	88.0	2130	70	japan
datsun pl510	4	97.0	88.0	2130	71	japan
fiat strada custom	4	91.0	69.0	2130	79	europe
vw pickup	4	97.0	52.0	2130	82	europe
honda accord lx	4	98.0	68.0	2135	78	japan
vw rabbit	4	98.0	76.0	2144	80	europe
subaru dl	4	97.0	67.0	2145	80	japan
plymouth horizon tc3	4	105.0	70.0	2150	79	usa
toyota corolla	4	97.0	75.0	2155	76	japan
buick opel isuzu deluxe	4	111.0	80.0	2155	77	usa
chevrolet chevette	4	98.0	68.0	2155	78	usa
opel manta	4	116.0	75.0	2158	73	europe
nissan stanza xe	4	120.0	88.0	2160	82	japan
dodge colt (sw)	4	98.0	80.0	2164	72	usa
chevrolet woody	4	98.0	60.0	2164	76	usa
toyota corolla	4	97.0	75.0	2171	75	japan
audi 4000	4	97.0	78.0	2188	80	europe
renault 12 (sw)	4	96.0	69.0	2189	72	europe
volkswagen dasher	4	97.0	78.0	2190	77	europe
volkswagen jetta	4	105.0	74.0	2190	81	europe
plymouth horizon	4	105.0	70.0	2200	79	usa
renault 12tl	4	101.0	83.0	2202	76	europe
honda accord	4	107.0	75.0	2205	82	japan
honda prelude	4	107.0	75.0	2210	81	japan
plymouth horizon 4	4	105.0	63.0	2215	81	usa
audi fox	4	98.0	83.0	2219	74	europe
mercury capri 2000	4	122.0	86.0	2220	71	usa
opel 1900	4	116.0	81.0	2220	76	europe
volkswagen dasher	4	90.0	71.0	2223	75	europe
ford pinto runabout	4	122.0	86.0	2226	72	usa
toyota corona	4	113.0	95.0	2228	71	japan
dodge omni	4	105.0	75.0	2230	78	usa
bmw 2002	4	121.0	113.0	2234	70	europe
toyota corolla	4	108.0	70.0	2245	82	japan
fiat 124 tc	4	116.0	75.0	2246	74	europe
volkswagen type 3	4	97.0	54.0	2254	72	europe
dodge colt	4	98.0	79.0	2255	76	usa
chevrolet vega 2300	4	140.0	90.0	2264	71	usa
fiat 124 sport coupe	4	98.0	90.0	2265	73	europe
toyota corolla liftback	4	97.0	75.0	2265	77	japan
toyota corolla	4	108.0	75.0	2265	80	japan
toyota corona hardtop	4	113.0	95.0	2278	72	japan
toyota carina	4	97.0	88.0	2279	73	japan
datsun 510 (sw)	4	97.0	92.0	2288	72	japan
honda accord	4	107.0	72.0	2290	80	japan
dodge rampage	4	135.0	84.0	2295	82	usa
opel manta	4	97.0	78.0	2300	74	europe
plymouth arrow gs	4	122.0	96.0	2300	77	usa
datsun 510	4	119.0	97.0	2300	78	japan
ford pinto	4	122.0	85.0	2310	73	usa
renault 18i	4	100.0		2315	81	europe
mazda rx2 coupe	3	70.0	97.0	2315	72	japan
vw dasher (diesel)	4	90.0	48.0	2335	80	europe
toyota corolla	4	108.0	75.0	2350	81	japan
dodge charger 2.2	4	135.0	84.0	2370	82	usa
toyota corona mark ii	4	113.0	95.0	2372	70	japan
saab 99e	4	104.0	95.0	2375	70	europe
datsun 610	4	108.0	94.0	2379	73	japan
ford escort 2h	4	98.0	65.0	2380	81	usa
plymouth reliant	4	135.0	84.0	2385	81	usa
subaru	4	108.0	93.0	2391	74	japan
ford pinto (sw)	4	122.0	86.0	2395	72	usa
chevrolet cavalier 2-door	4	112.0	88.0	2395	82	usa
chevrolet vega	4	140.0	72.0	2401	73	usa
datsun 200-sx	4	119.0	97.0	2405	78	japan
chevrolet vega (sw)	4	140.0	72.0	2408	71	usa
chevrolet vega	4	140.0	90.0	2408	72	usa
mazda rx-7 gs	3	70.0	100.0	2420	80	japan
audi 100 ls	4	107.0	90.0	2430	70	europe
datsun 510 hatchback	4	119.0	92.0	2434	80	japan
ford pinto	4	122.0	80.0	2451	74	usa
fiat 131	4	107.0	86.0	2464	76	europe
mercury capri v6	6	155.0	107.0	2472	73	usa
honda civic	4	120.0	97.0	2489	74	japan
plymouth reliant	4	135.0	84.0	2490	81	usa
triumph tr7 coupe	4	122.0	88.0	2500	80	europe
toyouta corona mark ii (sw)	4	120.0	97.0	2506	72	japan
volkswagen 411 (sw)	4	121.0	76.0	2511	72	europe
toyota celica gt liftback	4	134.0	95.0	2515	78	japan
dodge aries se	4	135.0	84.0	2525	82	usa
chevrolet vega	4	140.0	75.0	2542	74	usa
mazda 626	4	120.0	75.0	2542	80	japan
datsun 710	4	119.0	97.0	2545	75	japan
pontiac phoenix	4	151.0	90.0	2556	79	usa
toyota corona	4	134.0	95.0	2560	78	japan
ford pinto	4	140.0	72.0	2565	76	usa
capri ii	4	140.0	92.0	2572	76	usa
pontiac j2000 se hatchback	4	112.0	85.0	2575	82	usa
audi 100ls	4	114.0	91.0	2582	73	europe
chrysler lebaron medallion	4	156.0	92.0	2585	82	usa
ford maverick	6	200.0	85.0	2587	70	usa
pontiac astro	4	140.0	78.0	2592	75	usa
chevrolet citation	6	173.0	115.0	2595	79	usa
bmw 320i	4	121.0	110.0	2600	77	europe
chevrolet cavalier	4	112.0	88.0	2605	82	usa
datsun 200sx	4	119.0	100.0	2615	81	japan
dodge aries wagon (sw)	4	156.0	92.0	2620	81	usa
ford ranger	4	120.0	79.0	2625	82	usa
amc gremlin	6	232.0	100.0	2634	71	usa
buick skylark	4	151.0	84.0	2635	81	usa
mazda 626	4	120.0	74.0	2635	81	japan
ford pinto	4	140.0	83.0	2639	75	usa
chevrolet cavalier wagon	4	112.0	88.0	2640	82	usa
amc gremlin	6	199.0	90.0	2648	70	usa
saab 99le	4	121.0	110.0	2660	73	europe
toyota celica gt	4	144.0	96.0	2665	82	japan
amc spirit dl	4	121.0	80.0	2670	79	usa
buick skylark limited	4	151.0	90.0	2670	79	usa
saab 99le	4	121.0	115.0	2671	75	europe
peugeot 504	4	110.0	87.0	2672	70	europe
chevrolet citation	4	151.0	90.0	2678	80	usa
audi 100ls	4	115.0	95.0	2694	75	europe
oldsmobile omega brougham	6	173.0	115.0	2700	79	usa
toyota corona	4	134.0	96.0	2702	75	japan
toyota corona liftback	4	134.0	90.0	2711	80	japan
mazda rx-4	3	80.0	110.0	2720	77	japan
ford fairmont (man)	4	140.0	88.0	2720	78	usa
chevy s-10	4	119.0	82.0	2720	82	usa
