Country	Population	Density	LandArea	MediumAge	UrbanPopulation	WorldShare
Niger	24206644	19	1266700	15	17	0.31
Mali	20250833	17	1220190	16	44	0.26
Eswatini	1160164	67	17200	17	30	0.01
Angola	32866272	26	1246700	17	67	0.42
Burundi	11890784	463	25680	17	14	0.15
Chad	16425864	13	1259200	17	23	0.21
DR Congo	89561403	40	2267050	17	46	1.15
Somalia	15893222	25	627340	17	47	0.2
Uganda	45741007	229	199810	17	26	0.59
Afghanistan	38928346	60	652860	18	25	0.5
Burkina Faso	20903273	76	273600	18	31	0.27
Central African Republic	4829767	8	622980	18	43	0.06
Gambia	2416668	239	10120	18	59	0.03
Guinea	13132795	53	245720	18	39	0.17
Malawi	19129952	203	94280	18	18	0.25
Mozambique	31255435	40	786380	18	38	0.4
Nigeria	206139589	226	910770	18	52	2.64
Tanzania	59734218	67	885800	18	37	0.77
Zambia	18383955	25	743390	18	45	0.24
Benin	12123200	108	112760	18	48	0.16
Cameroon	26545863	56	472710	19	56	0.34
Congo	5518087	16	341500	19	70	0.07
Côte d'Ivoire	26378274	83	318000	19	51	0.34
Eritrea	3546421	35	101000	19	63	0.05
Ethiopia	114963588	115	1000000	19	21	1.47
Guinea-Bissau	1968001	70	28120	19	45	0.03
Liberia	5057681	53	96320	19	53	0.06
Sao Tome & Principe	219159	228	960	19	74	0.0
Senegal	16743927	87	192530	19	49	0.21
Sierra Leone	7976983	111	72180	19	43	0.1
South Sudan	11193725	18	610952	19	25	0.14
Togo	8278724	152	54390	19	43	0.11
Zimbabwe	14862924	38	386850	19	38	0.19
Comoros	869601	467	1861	20	29	0.01
Kenya	53771296	94	569140	20	28	0.69
Madagascar	27691018	48	581795	20	39	0.36
Mauritania	4649658	5	1030700	20	57	0.06
Mayotte	272815	728	375	20	46	0.0
Rwanda	12952218	525	24670	20	18	0.17
Solomon Islands	686884	25	27990	20	23	0.01
Sudan	43849260	25	1765048	20	35	0.56
Yemen	29825964	56	527970	20	38	0.38
Iraq	40222493	93	434320	21	73	0.52
State of Palestine	5101414	847	6020	21	80	0.07
Vanuatu	307145	25	12190	21	24	0.0
Equatorial Guinea	1402985	50	28050	22	73	0.02
Ghana	31072940	137	227540	22	57	0.4
Namibia	2540905	3	823290	22	55	0.03
Papua New Guinea	8947024	20	452860	22	13	0.11
Samoa	198414	70	2830	22	18	0.0
Tajikistan	9537645	68	139960	22	27	0.12
Tonga	105695	147	720	22	24	0.0
Timor-Leste	1318445	89	14870	23	33	0.02
Gabon	2225734	9	257670	23	87	0.03
Guatemala	17915568	167	107160	23	52	0.23
Kiribati	119449	147	810	23	57	0.0
Pakistan	220892340	287	770880	23	35	2.83
Botswana	2351627	4	566730	24	73	0.03
Haiti	11402528	414	27560	24	57	0.15
Honduras	9904607	89	111890	24	57	0.13
Jordan	10203134	115	88780	24	91	0.13
Laos	7275560	32	230800	24	36	0.09
Belize	397628	17	22810	25	46	0.01
Egypt	102334404	103	995450	25	43	1.31
French Guiana	298682	4	82200	25	87	0.0
Nepal	29136808	203	143350	25	21	0.37
Bolivia	11673021	11	1083300	26	69	0.15
Cambodia	16718965	95	176520	26	24	0.21
Kyrgyzstan	6524195	34	191800	26	36	0.08
Nicaragua	6624554	55	120340	26	57	0.08
Paraguay	7132538	18	397300	26	62	0.09
Philippines	109581078	368	298170	26	47	1.41
Syria	17500658	95	183630	27	60	0.22
Djibouti	988000	43	23180	27	79	0.01
Guyana	786552	4	196850	27	27	0.01
Micronesia	548914	784	700	27	68	0.01
Turkmenistan	6031200	13	469930	27	53	0.08
Lesotho	2142249	71	30360	28	31	0.03
Bangladesh	164689383	1265	130170	28	39	2.11
Bhutan	771608	20	38117	28	46	0.01
Cabo Verde	555987	138	4030	28	68	0.01
Dominican Republic	10847910	225	48320	28	85	0.14
Ecuador	17643054	71	248360	28	63	0.23
El Salvador	6486205	313	20720	28	73	0.08
Fiji	896445	49	18270	28	59	0.01
India	1380004385	464	2973190	28	35	17.7
Mongolia	3278290	2	1553560	28	67	0.04
South Africa	59308690	49	1213090	28	67	0.76
Uzbekistan	33469203	79	425400	28	50	0.43
Western Sahara	597339	2	266000	28	87	0.01
Algeria	43851044	18	2381740	29	73	0.56
Libya	6871292	4	1759540	29	78	0.09
Mexico	128932753	66	1943950	29	84	1.65
Myanmar	54409800	83	653290	29	31	0.7
Indonesia	273523615	151	1811570	30	56	3.51
Israel	8655535	400	21640	30	93	0.11
Lebanon	6825445	667	10230	30	78	0.09
Malaysia	32365999	99	328550	30	78	0.42
Maldives	540544	1802	300	30	35	0.01
Morocco	36910560	83	446300	30	64	0.47
Venezuela	28435940	32	882050	31	0	0.36
Colombia	50882891	46	1109500	31	80	0.65
Panama	4314767	58	74340	32	68	0.06
Suriname	586632	4	156000	32	65	0.01
Guam	168775	313	540	32	95	0.0
Jamaica	2961167	273	10830	32	55	0.04
Kazakhstan	18776707	7	2699700	32	58	0.24
Oman	5106626	16	309500	32	87	0.07
Peru	32971854	26	1280000	32	79	0.42
Argentina	45195774	17	2736690	32	93	0.58
Azerbaijan	10139177	123	82658	32	56	0.13
Bahamas	393244	39	10010	32	86	0.01
Bahrain	1701575	2239	760	32	89	0.02
Brunei	437479	83	5270	32	80	0.01
